factor,split,rank_ic,valid_ic_days,daily_spread_mean,min_valid_pairs
VOL_ADJ_UPPER_SHADOW,train,0.04414990317572492,1216,0.0009513980191138372,273
VOL_ADJ_UPPER_SHADOW,validation,0.05313152805266665,241,0.0015444360033445219,297
VOL_ADJ_UPPER_SHADOW,test,0.04843811082577804,966,0.001000527264474556,296
INTRADAY_DRAWDOWN_VOLUME,train,0.06340397786035083,1216,0.0005421981899915133,274
INTRADAY_DRAWDOWN_VOLUME,validation,0.04802110890330065,241,0.001182807348874325,297
INTRADAY_DRAWDOWN_VOLUME,test,0.05460392339375167,966,0.0009243148888330165,296
