return_date,Group-1,Group-2,Group-3,Group-4,Group-5,Group-6,Group-7,Group-8,Group-9,Group-10,Long-Short
2016-01-04,1,1,1,1,1,1,1,1,1,1,1
2016-01-05,0.987160462886,0.991872215644,0.990088055842,0.993946201168,0.990082001314,1.00402621552,1.00739551848,1.00556897698,1.00597158587,1.00855343882,1.02139297593
2016-01-06,1.01123440406,1.02525247318,1.01430051143,1.01995871603,1.01827789065,1.0300531277,1.03196254099,1.02977737917,1.03180770558,1.02825798693,1.01643960416
2016-01-07,0.93260522081,0.940275081812,0.926156055547,0.929411301974,0.932225541542,0.939106476973,0.946879402884,0.943020388775,0.947997379287,0.950582437603,1.01869074322
2016-01-08,0.962885090946,0.955625234285,0.963511797147,0.947869768241,0.955790783451,0.968330725751,0.966241114591,0.970862340882,0.971613661932,0.966641633631,1.00282566608
2016-01-11,0.911871616238,0.911723689444,0.903823869086,0.885612166143,0.894221568564,0.90307713801,0.901107557277,0.905070750072,0.912113327391,0.920390238995,1.00797247463
2016-01-12,0.91918329929,0.914980266654,0.919160931227,0.893109573756,0.905401552776,0.914613959549,0.91107198359,0.913707499513,0.917801191334,0.923608939957,1.00341520886
2016-01-13,0.887693989224,0.886566729018,0.895283654329,0.863114324994,0.8781891058,0.892485891363,0.888043066592,0.896100690379,0.90026884552,0.907800092419,1.02061528666
2016-01-14,0.927794580636,0.920353568327,0.922866263452,0.892178375225,0.909265241875,0.92410406584,0.908300097271,0.914099549961,0.913875428421,0.917286554297,0.985175497623
2016-01-15,0.902202558012,0.879808591928,0.882799513478,0.854820133116,0.869600008216,0.89867369877,0.863443223233,0.874991326233,0.870955184465,0.883856101162,0.976445637612
2016-01-18,0.90924428264,0.887400213469,0.887206442742,0.866777866146,0.884657552132,0.906368340921,0.870062962933,0.879735542511,0.873317009644,0.881497514329,0.966218779203
2016-01-19,0.943492000116,0.91762852385,0.916541608621,0.897594772334,0.914588656263,0.942231134724,0.896764959807,0.909309475502,0.904012484708,0.909802933163,0.960850922612
2016-01-20,0.941720559858,0.903051192164,0.906515698941,0.885566712679,0.898169709623,0.928356133969,0.885998986278,0.895363224463,0.894160275781,0.894666869444,0.94666962414
2016-01-21,0.901858278793,0.860605325044,0.867514500525,0.844116936354,0.866009925094,0.89644859459,0.853155100742,0.86194951379,0.869849943394,0.877133878268,0.968189294105
2016-01-22,0.920487227086,0.869101364052,0.884528837499,0.86443104517,0.880877033726,0.905435807516,0.861114818359,0.869282108112,0.876145066002,0.882955595547,0.954616271051
2016-01-25,0.92776969141,0.879863710106,0.889649484981,0.871033393947,0.890135641557,0.910905937461,0.871310471384,0.879692474321,0.884707188784,0.887435863121,0.951907679785
2016-01-26,0.870763811039,0.814880597668,0.818322529146,0.80235174793,0.815883403774,0.84376481676,0.802580575575,0.807683301054,0.818199653485,0.839732177866,0.959227358148
2016-01-27,0.875863240213,0.815840152871,0.812456199865,0.794265527531,0.81054846893,0.832670031574,0.792136938643,0.794404377981,0.809856892535,0.839298506416,0.953114478871
2016-01-28,0.843285966356,0.784242567136,0.77879192928,0.766819159046,0.777286594736,0.795915765535,0.756704809621,0.769382536639,0.780730519652,0.82273289377,0.969753022276
2016-01-29,0.868703270925,0.814415034388,0.812843378259,0.801255526807,0.817873959773,0.830257325063,0.789114336852,0.794783713755,0.805996741111,0.843476005679,0.964973750372
2016-02-01,0.852563488318,0.799135985339,0.802809747909,0.780253380121,0.808894172316,0.81791295124,0.774160349399,0.784337104405,0.786886555862,0.833803378886,0.971836246591
2016-02-02,0.880916712792,0.828502002993,0.830137206537,0.80513442888,0.833100431308,0.841478530127,0.794401103399,0.804841593596,0.80392671966,0.844564494231,0.952059010707
2016-02-03,0.875680293543,0.829534855308,0.827793268357,0.803973476274,0.828697097142,0.838958406366,0.795290679603,0.806484327898,0.800685971104,0.84081334279,0.953489729333
2016-02-04,0.894782654105,0.848308745259,0.843082474732,0.823324405252,0.84303086837,0.855891821752,0.808371389966,0.818954376289,0.808232482099,0.847520977902,0.940296526931
2016-02-05,0.890777260616,0.8441424779,0.831104826427,0.815014501725,0.830114104254,0.847730323529,0.802196133105,0.809135153336,0.802266035129,0.845679868509,0.942463008081
2016-02-15,0.899364244579,0.835499241382,0.835529019774,0.807817538314,0.832884290524,0.837217522961,0.796850822925,0.804004806678,0.796773617643,0.836276554269,0.922898310994
2016-02-16,0.93225419728,0.875380899745,0.866542474604,0.846990674378,0.86303328542,0.869292834807,0.828315780899,0.834600951181,0.82394558656,0.856925503097,0.911935484848
2016-02-17,0.944711794649,0.887033697853,0.880384685511,0.858499926874,0.881180925036,0.878228001805,0.838049995278,0.846045678076,0.8276891469,0.858442401975,0.901363679497
2016-02-18,0.948018459799,0.87936182852,0.880363721742,0.863218845274,0.877465762877,0.87993609589,0.832987978274,0.845135511161,0.82389526885,0.854413653737,0.893978559032
2016-02-19,0.947667610201,0.88186120557,0.881164463943,0.865868253713,0.87760960754,0.878793217171,0.83316904633,0.845315179029,0.8240051199,0.853753041135,0.89361820589
2016-02-22,0.966217977549,0.903825795211,0.908187035657,0.89133831211,0.906907101372,0.902158894009,0.852767999227,0.864820302005,0.845087049489,0.87537369787,0.898756054929
